#
#     DEFINES WAVELENGTH DEPENDENT COMPLEX INDEX OF REFRACTION FOR WATER
#     ALLOWABLE WAVELENGTH RANGE EXTENDS FROM .2 MICRONS TO 1000.0 microns
#
#     ERIC A. SMITH
#     DEPT OF ATMOSPHERIC SCIENCE
#     COLORADO STATE UNIVERSITY
#     FORT COLLINS,CO  80523
#     TEL   303-491-8533
#
#     REFERENCES
#
#     0.2 UM - 0.69 UM
#
#     HALE,G., AND M. QUERRY,1972.
#     OPTICAL CONSTANTS OF WATER IN THE 200 NM TO 200 UM WAVELENGTH REGI
#     APPLIED OPTICS,12,3,555-563.
#
#     0.69 UM - 2.0 UM
#
#     PALMER,K.F., AND D. WILLIAMS,1974.
#     OPTICAL PROPERTIES OF WATER IN THE NEAR INFRARED.
#     JOURNAL OF THE OPTICAL SOCIETY OF AMERICA,64,8,1107-1110.
#
#     2.0 UM - 1000.0 UM
#
#     DOWNING,H.D., AND D. WILLIAMS,1975.
#     OPTICAL CONSTANTS OF WATER IN THE INFRARED.
#     JOURNAL OF GEOPHYSICAL REVIEW,80,12,1656-1661.
#
#  nlambda = 
 518
#    lambda          real              im 
#   (microns)
   8.4033604       1.2790000      3.66000012E-02
   8.4745798       1.2760000      3.70000005E-02
   8.5470104       1.2740000      3.73999998E-02
   8.6206903       1.2710000      3.77999991E-02
   8.6956501       1.2690001      3.83000001E-02
   8.7719297       1.2670000      3.86999995E-02
   8.8495598       1.2640001      3.92000005E-02
   8.9285698       1.2610000      3.97999994E-02
   9.0090103       1.2589999      4.05000001E-02
   9.0909100       1.2560000      4.10999991E-02
   9.1743097       1.2530000      4.17000018E-02
   9.2592602       1.2490000      4.23999988E-02
   9.3457899       1.2460001      4.34000008E-02
   9.4339600       1.2420000      4.43000011E-02
   9.5238104       1.2380000      4.52999994E-02
   9.6153803       1.2340000      4.67000008E-02
   9.7087402       1.2300000      4.80999984E-02
   9.8039198       1.2240000      4.96999994E-02
   9.9009895       1.2200000      5.15000001E-02
   10.000000       1.2140000      5.33999987E-02
   10.101010       1.2079999      5.57000004E-02
   10.204080       1.2020000      5.88999987E-02
   10.309280       1.1940000      6.21999986E-02
   10.416670       1.1890000      6.61000013E-02
   10.526320       1.1810000      7.06999972E-02
   10.638300       1.1740000      7.63999969E-02
   10.752690       1.1680000      8.28000009E-02
   10.869570       1.1619999      8.98000002E-02
   10.989010       1.1560000      9.73000005E-02
   11.111110       1.1490000      0.10700000    
   11.235960       1.1430000      0.11800000    
   11.363640       1.1390001      0.13000000    
   11.494250       1.1350000      0.14399999    
   11.627910       1.1320000      0.15899999    
   11.764710       1.1320000      0.17600000    
   11.904760       1.1310000      0.19200000    
   12.048190       1.1320000      0.20800000    
   12.195120       1.1300000      0.22600000    
   12.345680       1.1300000      0.24300000    
   12.500000       1.1339999      0.25999999    
   12.658230       1.1380000      0.27700001    
   12.820510       1.1420000      0.29200000    
   12.987010       1.1569999      0.30500001    
   13.157890       1.1710000      0.31700000    
   13.333330       1.1820000      0.32800001    
   13.513510       1.1890000      0.33800000    
   13.698630       1.2010000      0.34700000    
   13.888890       1.2130001      0.35600001    
   14.084510       1.2230000      0.36500001    
   14.285710       1.2359999      0.37300000    
   14.492750       1.2490000      0.37900001    
   14.705880       1.2640001      0.38600001    
   14.925370       1.2770000      0.39199999    
   15.151520       1.2890000      0.39700001    
   15.384620       1.3030000      0.40300000    
   15.625000       1.3130000      0.40799999    
   15.873020       1.3240000      0.41200000    
   16.129030       1.3350000      0.41700000    
   16.393440       1.3480000      0.41999999    
   16.666670       1.3609999      0.42300001    
   16.949150       1.3720000      0.42500001    
   17.241381       1.3850000      0.42699999    
   17.543859       1.3960000      0.42800000    
   17.857140       1.4069999      0.42699999    
   18.181820       1.4190000      0.42699999    
   18.518520       1.4310000      0.42600000    
   18.867920       1.4410000      0.42500001    
   19.230770       1.4510000      0.42300001    
   19.607840       1.4620000      0.42100000    
   20.000000       1.4700000      0.41800001    
   20.408159       1.4800000      0.41499999    
   20.833330       1.4880000      0.41100001    
   21.276600       1.4960001      0.40799999    
   21.739130       1.5039999      0.40400001    
   22.222219       1.5100000      0.40099999    
   22.727270       1.5150000      0.39700001    
   23.255810       1.5210000      0.39399999    
   23.809521       1.5270000      0.38999999    
   24.390240       1.5319999      0.38600001    
   25.000000       1.5369999      0.38200000    
   25.641029       1.5410000      0.37700000    
   26.315790       1.5450000      0.37200001    
   27.027031       1.5490000      0.36800000    
   27.777781       1.5520000      0.36300001    
   28.571430       1.5520000      0.35900000    
   29.411760       1.5520000      0.35600001    
   30.303030       1.5500000      0.35200000    
   31.250000       1.5460000      0.35299999    
   32.258060       1.5430000      0.35699999    
   33.333328       1.5410000      0.36100000    
   34.482761       1.5390000      0.36800000    
   35.714291       1.5369999      0.37500000    
   37.037041       1.5340000      0.38499999    
   38.461540       1.5319999      0.39800000    
   40.000000       1.5290000      0.41400000    
   41.666672       1.5250000      0.43599999    
   43.478260       1.5280000      0.46900001    
   45.454552       1.5420001      0.50500000    
   47.619049       1.5670000      0.53899997    
   50.000000       1.6000000      0.57099998    
   52.631580       1.6400000      0.59700000    
   55.555561       1.6890000      0.61799997    
   58.823528       1.7460001      0.62900001    
   62.500000       1.8010000      0.62199998    
   66.666672       1.8480000      0.60799998    
   71.428574       1.8900000      0.59299999    
   76.923080       1.9290000      0.57700002    
   83.333328       1.9600000      0.55699998    
   90.909088       1.9820000      0.53200001    
   100.00000       1.9970000      0.50700003    
   111.11111       2.0000000      0.48699999    
   125.00000       2.0100000      0.46599999    
   142.85715       2.0200000      0.44999999    
   166.66667       2.0400000      0.44400001    
   200.00000       2.0699999      0.43799999    
   250.00000       2.1099999      0.46000001    
   333.33334       2.1500001      0.52700001    
   500.00000       2.2249999      0.71799999    
   1000.0000       2.4809999      0.84657001    
